satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
dissatisfied,Female,disloyal Customer,56,Business travel,Business,1139,3,3,3,3,2,3,2,2,4,2,4,3,4,2,0,0
dissatisfied,Male,Loyal Customer,44,Business travel,Business,3269,2,1,1,1,5,3,3,2,2,2,2,2,2,3,0,6
dissatisfied,Male,Loyal Customer,47,Business travel,Eco Plus,1374,1,1,1,1,1,1,1,1,2,2,3,2,4,1,5,0
dissatisfied,Male,disloyal Customer,59,Business travel,Business,1655,2,2,2,4,4,2,4,4,4,2,3,2,4,4,53,55
satisfied,Female,Loyal Customer,43,Business travel,Eco,452,5,5,3,3,5,3,5,5,5,5,5,3,5,2,1,0
dissatisfied,Male,disloyal Customer,27,Business travel,Business,2644,2,2,2,3,2,2,2,2,3,3,4,5,4,2,0,0
satisfied,Female,Loyal Customer,45,Personal Travel,Eco,1339,5,5,5,5,4,5,4,4,4,4,5,5,4,5,0,6
dissatisfied,Female,Loyal Customer,56,Business travel,Eco,577,4,1,1,1,3,4,4,4,4,4,4,4,4,1,15,6
satisfied,Male,Loyal Customer,48,Business travel,Business,766,5,5,5,5,4,5,5,5,5,5,5,3,5,5,0,13
satisfied,Female,Loyal Customer,25,Business travel,Business,3780,1,1,1,1,5,5,5,5,3,3,4,4,4,5,10,8
satisfied,Male,Loyal Customer,40,Business travel,Business,3954,5,5,5,5,1,2,1,4,4,4,4,4,4,4,0,0
dissatisfied,Female,Loyal Customer,10,Personal Travel,Eco,2425,2,4,2,2,2,4,3,2,3,1,5,3,4,3,128,233
dissatisfied,Female,Loyal Customer,9,Personal Travel,Eco,1161,3,5,3,5,1,3,1,1,5,5,4,5,4,1,0,0
satisfied,Male,Loyal Customer,46,Business travel,Business,1514,1,1,1,1,1,4,1,5,5,5,5,4,5,4,0,56
satisfied,Male,Loyal Customer,38,Business travel,Eco Plus,2409,5,1,1,1,5,5,5,5,3,4,4,1,2,5,44,53
satisfied,Male,Loyal Customer,52,Business travel,Business,714,1,1,1,1,4,4,4,5,5,5,5,4,5,4,0,17
satisfied,Male,Loyal Customer,29,Business travel,Business,1919,1,1,4,1,4,4,4,4,4,2,4,3,5,4,0,0
dissatisfied,Male,Loyal Customer,64,Personal Travel,Eco,1268,1,5,1,1,2,1,2,2,5,5,5,5,5,2,64,59
satisfied,Female,disloyal Customer,25,Business travel,Business,2432,4,0,4,5,3,4,5,3,4,2,5,5,4,3,5,0
dissatisfied,Female,Loyal Customer,29,Personal Travel,Eco,1853,3,5,3,4,5,3,2,5,3,2,4,5,4,5,10,12
satisfied,Male,Loyal Customer,39,Business travel,Business,2011,3,3,3,3,3,5,4,4,4,4,4,3,4,3,0,0
dissatisfied,Male,Loyal Customer,47,Business travel,Eco,4137,2,5,5,5,2,2,2,2,2,2,4,2,3,2,0,3
dissatisfied,Female,disloyal Customer,18,Business travel,Eco,2394,4,4,4,3,2,4,2,2,1,1,3,4,4,2,117,126
dissatisfied,Male,disloyal Customer,62,Business travel,Eco,1691,3,2,3,3,2,3,2,2,4,2,4,2,3,2,1,0
satisfied,Male,Loyal Customer,55,Business travel,Business,2294,4,4,2,4,5,4,4,4,4,4,4,5,4,3,10,3
dissatisfied,Male,Loyal Customer,68,Personal Travel,Eco,2826,2,5,1,4,4,1,4,4,5,2,5,4,5,4,0,0
dissatisfied,Female,Loyal Customer,9,Business travel,Business,4375,2,3,3,3,2,2,2,2,2,2,3,1,3,2,5,14
satisfied,Female,Loyal Customer,49,Business travel,Eco,271,4,1,1,1,4,3,1,4,4,4,4,2,4,2,0,0
satisfied,Female,Loyal Customer,51,Business travel,Business,581,2,2,2,2,3,5,5,4,4,4,4,5,4,4,0,0
satisfied,Female,Loyal Customer,31,Personal Travel,Eco,1269,4,4,4,4,4,4,4,4,5,5,4,4,4,4,9,6
satisfied,Male,disloyal Customer,24,Business travel,Business,2285,4,0,3,1,3,3,1,3,5,5,4,4,4,3,0,0
dissatisfied,Male,Loyal Customer,41,Business travel,Business,2695,3,5,5,5,3,3,3,3,3,3,3,1,3,2,0,0
dissatisfied,Female,disloyal Customer,26,Business travel,Eco,1599,2,1,2,3,1,2,1,1,2,5,3,3,3,1,0,0
dissatisfied,Male,disloyal Customer,30,Business travel,Eco,1169,2,5,2,4,3,2,2,3,2,4,2,5,2,3,0,0
dissatisfied,Male,Loyal Customer,15,Personal Travel,Eco,2682,1,2,1,3,3,1,3,3,1,4,4,4,3,3,42,64
dissatisfied,Male,Loyal Customer,62,Personal Travel,Eco,1976,3,1,3,4,3,3,4,3,4,5,4,3,4,3,73,96
satisfied,Female,Loyal Customer,42,Business travel,Business,2129,2,2,2,2,5,4,4,2,2,2,2,3,2,4,0,0
satisfied,Female,Loyal Customer,68,Business travel,Business,2833,3,3,3,3,3,4,5,3,3,4,3,5,3,3,113,105
satisfied,Male,Loyal Customer,55,Business travel,Business,1201,3,3,3,3,3,5,5,5,5,5,5,3,5,3,0,0
satisfied,Female,Loyal Customer,25,Business travel,Business,3157,4,4,4,4,4,4,4,4,5,3,3,4,5,4,0,10
satisfied,Female,Loyal Customer,21,Personal Travel,Eco,1617,3,3,3,3,4,4,4,4,5,4,4,4,5,4,3,19
satisfied,Female,Loyal Customer,51,Business travel,Business,4034,3,3,3,3,4,5,4,5,5,5,5,3,5,5,25,29
satisfied,Female,Loyal Customer,12,Personal Travel,Eco,2731,0,0,0,2,5,5,5,5,3,1,3,5,3,5,0,0
satisfied,Female,Loyal Customer,42,Personal Travel,Eco,327,4,4,4,4,2,4,5,5,5,4,5,3,5,5,4,0
dissatisfied,Male,Loyal Customer,57,Business travel,Business,357,2,1,1,1,2,2,3,2,2,2,2,2,2,1,17,16
satisfied,Female,Loyal Customer,33,Personal Travel,Eco,1678,2,2,2,2,4,5,5,5,5,5,5,4,5,3,6,0
satisfied,Female,Loyal Customer,29,Personal Travel,Eco,1885,5,5,2,5,5,5,5,5,4,4,5,3,4,5,3,0
dissatisfied,Female,Loyal Customer,49,Business travel,Business,1783,3,1,1,1,3,1,1,3,3,3,3,3,3,1,26,19
satisfied,Female,Loyal Customer,44,Business travel,Business,1203,3,3,3,3,2,4,5,4,4,4,4,5,4,4,5,27
dissatisfied,Male,disloyal Customer,34,Business travel,Business,4112,3,3,3,4,5,3,5,5,5,2,4,4,4,5,0,0
satisfied,Male,Loyal Customer,57,Business travel,Business,416,3,3,3,3,4,4,4,4,4,4,4,4,4,3,0,0
satisfied,Female,Loyal Customer,39,Personal Travel,Eco,1563,4,4,5,4,2,5,5,3,3,3,3,5,3,3,29,24
satisfied,Female,Loyal Customer,23,Personal Travel,Eco,2138,3,3,3,3,5,5,4,5,5,5,5,4,5,4,9,6
satisfied,Female,Loyal Customer,29,Business travel,Eco Plus,1576,4,5,5,5,4,4,4,4,3,1,2,2,4,4,105,94
satisfied,Male,Loyal Customer,22,Personal Travel,Eco,2890,0,5,0,5,5,0,5,5,5,2,4,5,4,5,0,0
satisfied,Female,Loyal Customer,20,Personal Travel,Eco,2166,2,1,2,2,3,4,4,3,3,4,3,3,3,3,5,0
dissatisfied,Female,disloyal Customer,27,Business travel,Business,1609,2,2,2,3,3,2,3,3,2,2,3,4,4,3,0,0
dissatisfied,Male,disloyal Customer,23,Business travel,Eco,2900,1,1,1,4,3,1,3,3,1,5,4,3,4,3,0,8
dissatisfied,Female,disloyal Customer,32,Business travel,Eco,2464,2,2,2,4,3,2,3,3,3,3,5,2,3,3,10,8
dissatisfied,Male,Loyal Customer,63,Personal Travel,Eco,3026,2,2,2,3,3,2,3,3,3,4,4,4,4,3,0,10
dissatisfied,Male,disloyal Customer,44,Business travel,Eco,1547,3,2,3,3,4,3,4,4,4,3,3,1,3,4,0,0
satisfied,Female,Loyal Customer,17,Personal Travel,Eco,2747,1,1,1,1,3,3,3,3,5,2,5,5,5,3,0,0
satisfied,Male,Loyal Customer,48,Business travel,Business,2357,5,5,5,5,4,4,5,5,5,5,5,4,5,3,73,63
satisfied,Male,Loyal Customer,27,Personal Travel,Eco,1844,5,5,5,3,4,5,5,4,4,3,5,3,4,4,0,0
dissatisfied,Female,disloyal Customer,9,Business travel,Eco,1779,1,3,1,4,3,1,2,3,2,5,3,3,3,3,0,0
satisfied,Female,Loyal Customer,51,Business travel,Business,2960,4,4,4,4,3,5,4,4,4,4,4,3,4,3,0,0
satisfied,Female,Loyal Customer,64,Business travel,Business,1748,1,1,1,1,4,4,5,5,5,5,5,4,5,5,0,2
dissatisfied,Male,Loyal Customer,41,Personal Travel,Eco,1950,2,2,2,4,4,2,4,4,2,4,4,1,3,4,26,10
dissatisfied,Female,disloyal Customer,22,Business travel,Eco,1717,4,5,4,1,4,4,4,4,5,4,4,4,4,4,0,18
satisfied,Male,Loyal Customer,68,Business travel,Business,3550,1,1,1,1,5,4,5,5,5,5,5,5,5,4,0,0
satisfied,Male,Loyal Customer,49,Business travel,Eco,1978,4,4,4,4,4,4,4,4,3,4,5,1,1,4,41,43
dissatisfied,Male,disloyal Customer,53,Personal Travel,Eco,2056,2,4,2,5,5,2,5,5,4,3,4,3,5,5,0,0
dissatisfied,Male,disloyal Customer,26,Business travel,Business,1993,2,2,2,4,1,2,1,1,4,3,4,5,4,1,1,0
satisfied,Female,Loyal Customer,31,Business travel,Business,3720,2,2,2,2,4,4,4,4,4,3,5,4,5,4,0,0
dissatisfied,Male,disloyal Customer,21,Business travel,Eco,2485,4,4,4,4,4,1,1,3,2,5,4,1,3,1,0,0
dissatisfied,Female,Loyal Customer,23,Business travel,Eco,2010,2,2,2,2,2,2,4,2,2,5,3,1,3,2,2,12
dissatisfied,Male,Loyal Customer,51,Business travel,Business,1764,2,2,2,2,2,4,4,2,2,1,2,1,2,4,0,0
satisfied,Female,Loyal Customer,48,Business travel,Business,401,5,5,5,5,2,5,5,5,5,5,5,4,5,4,0,0
satisfied,Female,Loyal Customer,54,Business travel,Business,1419,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,1
dissatisfied,Female,Loyal Customer,47,Business travel,Business,3560,2,2,2,2,4,2,2,2,2,2,2,2,2,2,19,21
satisfied,Male,Loyal Customer,57,Business travel,Business,577,5,5,5,5,5,4,5,4,4,5,4,4,4,5,0,0
satisfied,Female,disloyal Customer,22,Business travel,Business,2491,4,0,5,2,5,5,5,5,5,2,4,3,5,5,0,0
dissatisfied,Male,Loyal Customer,45,Personal Travel,Eco,2853,2,4,2,3,1,2,1,1,2,2,4,1,3,1,3,11
dissatisfied,Female,Loyal Customer,42,Personal Travel,Eco,2039,3,4,3,4,3,3,3,3,4,2,2,3,5,3,145,140
dissatisfied,Male,Loyal Customer,12,Personal Travel,Eco,1423,1,4,1,3,2,1,2,2,5,5,5,4,5,2,2,7
satisfied,Female,Loyal Customer,17,Personal Travel,Eco,1244,4,4,4,4,3,4,5,4,4,4,4,3,4,4,0,0
satisfied,Female,Loyal Customer,50,Business travel,Business,2013,1,1,1,1,5,1,1,5,5,5,5,1,5,4,0,6
dissatisfied,Male,Loyal Customer,31,Personal Travel,Eco,1011,2,4,2,2,3,2,3,3,4,2,4,4,5,3,116,111
satisfied,Female,Loyal Customer,60,Personal Travel,Eco,2184,3,3,3,3,3,4,1,5,5,5,5,5,5,5,0,0
dissatisfied,Male,Loyal Customer,43,Personal Travel,Eco,2065,3,4,3,3,5,3,5,5,3,4,5,3,4,5,3,1
satisfied,Female,disloyal Customer,22,Business travel,Eco,2488,0,3,0,2,4,3,4,4,3,4,4,3,5,4,2,0
dissatisfied,Female,Loyal Customer,66,Personal Travel,Eco,1134,4,3,4,3,4,4,5,3,3,4,3,5,3,2,0,0
satisfied,Female,Loyal Customer,50,Business travel,Business,2777,2,2,4,2,5,4,4,4,4,4,4,5,4,4,39,34
dissatisfied,Female,disloyal Customer,34,Business travel,Eco,1711,2,4,2,3,1,2,1,1,1,5,4,3,3,1,0,0
satisfied,Male,Loyal Customer,37,Business travel,Business,2135,4,4,4,4,5,4,4,4,4,4,4,5,4,4,3,1
satisfied,Male,Loyal Customer,57,Business travel,Business,1810,4,4,4,4,5,5,4,4,4,4,4,5,4,4,0,3
dissatisfied,Male,Loyal Customer,40,Personal Travel,Eco,1494,1,2,1,3,3,1,3,3,4,5,3,4,2,3,0,0
satisfied,Male,Loyal Customer,55,Business travel,Business,955,3,3,3,3,5,5,4,5,5,5,5,5,5,3,0,3
dissatisfied,Female,Loyal Customer,43,Business travel,Business,484,3,1,1,1,1,3,3,3,3,3,3,3,3,2,0,0
dissatisfied,Male,Loyal Customer,35,Personal Travel,Eco Plus,2108,3,5,3,3,5,3,4,5,3,2,4,5,4,5,3,12
satisfied,Female,Loyal Customer,46,Business travel,Business,3093,1,1,1,1,2,5,5,4,4,3,4,4,4,5,0,0
dissatisfied,Female,Loyal Customer,59,Business travel,Business,225,1,5,5,5,4,3,3,2,2,2,1,1,2,4,114,97
satisfied,Male,Loyal Customer,30,Business travel,Business,1910,2,2,2,2,5,5,5,5,3,3,4,5,4,5,34,37
dissatisfied,Female,Loyal Customer,40,Business travel,Business,1656,1,4,4,4,1,3,3,1,1,1,1,2,1,3,1,21
dissatisfied,Male,disloyal Customer,26,Business travel,Business,1491,3,0,3,2,3,3,3,3,5,2,4,3,5,3,17,21
satisfied,Female,Loyal Customer,41,Personal Travel,Eco,3849,4,5,4,3,2,4,2,2,5,2,4,5,4,2,11,0
dissatisfied,Male,disloyal Customer,39,Business travel,Business,2041,2,2,2,2,4,2,4,4,4,3,4,5,5,4,7,3
satisfied,Female,Loyal Customer,61,Personal Travel,Eco,557,4,5,4,4,4,4,4,1,1,4,1,4,1,5,0,0
dissatisfied,Male,Loyal Customer,15,Personal Travel,Eco,1615,1,5,1,3,3,1,3,3,4,4,5,4,4,3,0,0
satisfied,Male,Loyal Customer,41,Business travel,Business,2268,5,5,5,5,3,5,5,5,5,5,5,3,5,4,0,4
dissatisfied,Female,Loyal Customer,32,Personal Travel,Eco,2114,4,5,4,3,2,4,2,2,3,2,4,3,4,2,2,0
satisfied,Female,disloyal Customer,20,Business travel,Eco,1834,4,0,4,2,2,4,2,2,3,4,3,1,4,2,15,19
dissatisfied,Male,disloyal Customer,22,Business travel,Eco,1955,4,2,4,3,2,4,2,2,4,4,3,3,4,2,39,26
satisfied,Male,Loyal Customer,22,Personal Travel,Eco,1424,4,1,4,2,3,4,3,3,3,1,2,1,3,3,0,0
satisfied,Male,Loyal Customer,41,Business travel,Business,2611,2,2,2,2,5,5,4,4,4,4,4,4,4,3,6,0
dissatisfied,Male,disloyal Customer,39,Business travel,Eco,2228,1,1,1,4,4,1,4,4,3,3,3,4,3,4,18,17
satisfied,Male,Loyal Customer,19,Business travel,Business,2476,4,4,4,4,5,5,5,5,5,2,5,1,2,5,59,55
satisfied,Male,Loyal Customer,53,Business travel,Business,2633,4,5,4,4,4,3,5,4,4,4,4,3,4,4,0,0
dissatisfied,Male,disloyal Customer,27,Business travel,Eco,2674,1,1,1,4,5,1,5,5,2,5,4,2,4,5,0,0
satisfied,Female,Loyal Customer,58,Business travel,Business,3124,5,3,5,5,3,4,5,4,4,4,4,4,4,4,0,0
satisfied,Female,Loyal Customer,69,Personal Travel,Eco Plus,2485,5,5,1,5,2,5,5,5,5,5,5,5,5,4,0,0
dissatisfied,Male,Loyal Customer,66,Business travel,Business,593,2,3,5,5,3,4,3,2,2,3,2,2,2,4,0,0
dissatisfied,Male,Loyal Customer,37,Personal Travel,Eco,1880,4,5,4,3,3,4,3,3,5,4,5,4,4,3,0,1
satisfied,Female,Loyal Customer,26,Personal Travel,Eco Plus,1570,3,3,3,3,3,4,4,5,5,5,5,4,5,4,12,12
satisfied,Female,Loyal Customer,44,Business travel,Business,491,1,4,1,1,2,4,4,4,4,4,4,5,4,5,11,0
satisfied,Female,Loyal Customer,34,Personal Travel,Eco,2253,4,4,4,4,3,5,5,5,5,5,5,3,5,4,23,28
dissatisfied,Female,Loyal Customer,60,Personal Travel,Eco,643,4,1,4,2,4,2,2,5,5,4,5,3,5,3,0,5
dissatisfied,Male,Loyal Customer,60,Personal Travel,Eco,2175,4,0,4,3,3,4,3,3,3,4,4,3,4,3,47,36
satisfied,Male,Loyal Customer,44,Business travel,Business,6907,5,5,5,5,5,4,4,3,2,3,4,4,4,4,0,0
satisfied,Female,Loyal Customer,47,Business travel,Business,2684,1,1,1,1,4,4,5,4,4,4,4,5,4,5,0,0
satisfied,Female,Loyal Customer,65,Business travel,Business,438,3,3,3,3,5,4,5,4,4,4,4,5,4,5,0,3
satisfied,Male,disloyal Customer,9,Business travel,Eco,2269,3,3,3,3,3,3,3,3,5,4,2,5,4,3,0,0
satisfied,Male,Loyal Customer,69,Business travel,Business,386,1,1,1,1,2,5,5,5,5,4,5,3,5,5,43,34
satisfied,Female,Loyal Customer,35,Business travel,Business,2506,4,4,5,4,4,2,1,4,4,4,4,3,4,4,0,0
satisfied,Female,Loyal Customer,54,Business travel,Business,980,1,1,1,1,4,5,4,4,4,4,4,3,4,5,1,0
satisfied,Female,Loyal Customer,21,Personal Travel,Eco,1333,0,5,0,2,4,0,4,4,3,4,4,5,4,4,0,11
satisfied,Male,Loyal Customer,33,Business travel,Business,3057,0,5,0,1,4,4,4,4,1,3,5,5,3,4,0,0
satisfied,Female,Loyal Customer,52,Personal Travel,Business,775,5,1,1,1,5,5,5,5,5,1,4,2,2,5,0,0
dissatisfied,Female,disloyal Customer,39,Business travel,Business,1546,3,3,3,3,2,3,2,2,5,3,5,4,4,2,0,0
satisfied,Female,Loyal Customer,35,Business travel,Eco,1956,4,1,1,1,4,4,4,4,4,1,4,2,5,4,0,1
dissatisfied,Female,disloyal Customer,37,Business travel,Eco,1360,1,1,1,1,5,1,5,5,1,4,2,4,2,5,0,37
dissatisfied,Male,disloyal Customer,26,Business travel,Business,2029,3,3,3,2,5,3,5,5,3,5,4,5,5,5,8,0
satisfied,Male,Loyal Customer,42,Business travel,Business,2201,1,3,1,1,5,5,4,5,5,5,5,5,5,4,2,0
satisfied,Female,Loyal Customer,38,Business travel,Eco,1472,5,3,5,3,5,5,5,5,1,3,1,2,2,5,0,0
dissatisfied,Female,Loyal Customer,22,Business travel,Business,2304,1,5,5,5,1,1,1,1,2,5,4,2,4,1,0,0
dissatisfied,Male,disloyal Customer,21,Business travel,Eco,2697,2,2,2,5,5,2,5,5,1,5,3,1,4,5,30,55
satisfied,Female,Loyal Customer,48,Business travel,Business,2285,3,3,1,3,3,4,5,3,3,4,3,4,3,3,0,0
dissatisfied,Female,Loyal Customer,48,Business travel,Business,2006,3,1,4,1,1,4,3,3,3,3,3,4,3,3,0,1
satisfied,Male,Loyal Customer,64,Business travel,Business,317,5,5,5,5,4,1,3,5,5,5,5,3,5,2,0,0
dissatisfied,Male,Loyal Customer,39,Business travel,Eco,1400,2,3,5,3,2,2,2,2,4,1,2,1,2,2,11,54
satisfied,Male,disloyal Customer,24,Business travel,Eco,1401,4,3,4,1,2,4,2,2,5,3,5,4,2,2,0,0
satisfied,Male,Loyal Customer,50,Business travel,Business,2007,0,5,0,2,5,5,5,1,1,1,1,5,1,3,55,54
satisfied,Male,disloyal Customer,37,Business travel,Business,1582,4,4,4,4,4,4,4,4,5,4,4,3,5,4,0,0
satisfied,Male,Loyal Customer,51,Personal Travel,Eco,2597,0,5,0,2,3,0,1,3,3,2,3,3,4,3,1,1
satisfied,Male,Loyal Customer,49,Business travel,Business,1043,3,3,3,3,5,4,4,5,5,5,5,4,5,5,0,34
satisfied,Female,Loyal Customer,34,Business travel,Business,1645,2,2,2,2,2,5,5,5,5,5,5,5,5,3,0,0
satisfied,Female,Loyal Customer,55,Personal Travel,Eco,1560,4,4,4,4,3,4,5,3,3,2,3,4,3,5,0,0
dissatisfied,Female,disloyal Customer,22,Business travel,Eco,1827,2,0,2,2,5,2,5,5,3,2,5,3,4,5,45,30
dissatisfied,Male,Loyal Customer,33,Business travel,Business,2095,2,3,3,3,2,2,2,2,3,1,3,3,4,2,33,20
satisfied,Female,Loyal Customer,40,Business travel,Business,2149,2,2,2,2,5,4,5,4,4,4,4,3,4,3,0,0
dissatisfied,Male,Loyal Customer,64,Business travel,Eco Plus,1413,2,1,4,1,2,2,2,2,2,4,4,2,3,2,0,4
satisfied,Female,Loyal Customer,43,Business travel,Business,917,2,2,2,2,4,4,5,5,5,5,5,4,5,4,0,4
satisfied,Female,Loyal Customer,33,Business travel,Eco,1954,5,1,1,1,5,5,5,5,5,4,3,5,4,5,0,0
dissatisfied,Female,Loyal Customer,35,Business travel,Business,271,1,2,2,2,4,4,3,1,1,1,1,3,1,2,10,10
satisfied,Female,Loyal Customer,43,Business travel,Business,259,3,3,3,3,4,5,5,4,4,4,4,3,4,3,6,0
dissatisfied,Female,Loyal Customer,38,Personal Travel,Business,2575,4,4,4,5,4,4,4,2,1,1,4,4,1,4,8,3
satisfied,Female,Loyal Customer,50,Business travel,Business,1778,1,1,1,1,2,4,4,5,5,5,5,5,5,5,0,0
satisfied,Female,Loyal Customer,19,Personal Travel,Eco Plus,1977,3,3,3,3,5,5,5,5,3,2,5,3,3,5,0,0
satisfied,Male,Loyal Customer,66,Business travel,Eco,2284,4,2,2,2,4,4,4,4,2,2,1,2,1,4,7,0
satisfied,Female,Loyal Customer,43,Business travel,Business,2836,5,5,5,5,2,5,5,5,5,5,5,3,5,5,0,2
satisfied,Female,Loyal Customer,55,Business travel,Business,2397,1,1,1,1,5,4,5,3,3,4,3,5,3,4,24,27
dissatisfied,Male,Loyal Customer,42,Business travel,Eco,1800,3,2,1,1,3,3,3,3,1,2,4,2,3,3,0,0
dissatisfied,Male,Loyal Customer,64,Personal Travel,Eco,1817,3,4,3,2,5,3,5,5,1,3,4,1,2,5,0,0
satisfied,Female,Loyal Customer,46,Business travel,Business,418,1,1,1,1,5,4,4,5,5,5,5,3,5,3,0,1
satisfied,Female,Loyal Customer,61,Personal Travel,Eco,329,4,5,4,4,3,5,5,5,5,5,5,4,5,3,0,0
satisfied,Female,Loyal Customer,34,Personal Travel,Eco,1253,3,3,3,3,2,4,4,4,4,4,4,2,4,2,3,0
satisfied,Male,Loyal Customer,34,Business travel,Business,1195,1,1,1,1,2,5,5,4,4,5,4,4,4,5,109,101
satisfied,Male,Loyal Customer,55,Business travel,Business,2944,5,5,5,5,2,4,4,4,4,4,4,4,4,5,0,0
satisfied,Female,Loyal Customer,55,Business travel,Business,1838,1,1,1,1,2,4,5,4,4,4,4,5,4,5,0,0
satisfied,Female,Loyal Customer,30,Business travel,Business,1507,2,1,2,2,4,4,4,4,5,5,5,3,5,4,0,0
dissatisfied,Female,Loyal Customer,41,Business travel,Eco,2192,3,1,1,1,3,3,3,3,1,2,4,4,3,3,0,0
satisfied,Female,Loyal Customer,16,Personal Travel,Eco,2918,5,5,5,5,5,5,5,4,4,4,4,4,4,3,2,0
satisfied,Female,Loyal Customer,22,Personal Travel,Eco,1880,4,4,4,4,3,4,5,4,4,4,4,3,4,4,3,0
dissatisfied,Female,disloyal Customer,26,Business travel,Eco,1732,1,1,0,2,3,0,3,3,2,4,2,3,1,3,3,49
dissatisfied,Male,disloyal Customer,23,Business travel,Eco,1961,2,2,2,3,4,2,4,4,5,2,5,5,5,4,67,80
dissatisfied,Female,Loyal Customer,67,Business travel,Eco Plus,207,4,2,5,5,3,4,4,4,4,4,4,3,4,3,0,35
dissatisfied,Male,Loyal Customer,69,Personal Travel,Eco,1490,1,1,1,4,5,1,5,5,1,2,3,1,4,5,0,0
satisfied,Male,Loyal Customer,32,Personal Travel,Eco,2035,4,5,4,4,5,4,5,5,2,1,1,1,4,5,0,0
satisfied,Female,Loyal Customer,55,Business travel,Eco,95,4,3,3,3,4,4,3,4,4,4,4,5,4,4,0,0
satisfied,Male,Loyal Customer,47,Business travel,Business,1474,4,4,4,4,5,5,5,5,5,5,5,5,5,4,0,0
satisfied,Female,Loyal Customer,55,Personal Travel,Eco,558,5,4,2,1,5,2,4,3,3,2,3,1,3,1,0,0
satisfied,Female,Loyal Customer,51,Business travel,Business,377,5,5,5,5,5,5,5,4,4,5,4,3,4,5,23,25
satisfied,Male,Loyal Customer,59,Business travel,Eco,1447,4,3,3,3,3,4,3,3,4,2,2,1,2,3,0,0
dissatisfied,Female,Loyal Customer,38,Business travel,Eco,1909,4,3,3,3,4,3,4,4,2,5,3,3,3,4,0,0
satisfied,Female,Loyal Customer,52,Personal Travel,Business,982,4,4,4,3,4,1,1,3,3,3,4,1,3,1,34,48
satisfied,Male,Loyal Customer,56,Business travel,Business,3365,3,3,3,3,5,5,5,5,5,5,5,4,5,5,0,0
satisfied,Female,Loyal Customer,61,Personal Travel,Business,1597,3,3,3,3,5,5,5,5,3,2,4,2,4,5,0,0
dissatisfied,Male,Loyal Customer,14,Personal Travel,Eco,1695,2,5,2,2,4,2,4,4,2,3,2,4,2,4,0,0
dissatisfied,Female,disloyal Customer,22,Business travel,Eco,1607,4,3,4,2,3,4,3,3,3,2,3,1,3,3,0,0
dissatisfied,Male,Loyal Customer,53,Personal Travel,Eco,2284,1,5,1,2,1,1,1,1,3,2,4,3,4,1,0,1
satisfied,Male,disloyal Customer,24,Business travel,Eco,1847,5,5,5,3,3,5,3,3,3,2,4,3,4,3,5,2
dissatisfied,Female,Loyal Customer,33,Business travel,Business,2715,1,1,3,3,2,1,1,2,1,4,4,1,2,1,9,16
satisfied,Female,Loyal Customer,15,Business travel,Business,3634,5,4,5,5,5,5,5,5,4,2,4,5,5,5,0,5
satisfied,Male,Loyal Customer,47,Business travel,Business,997,3,3,3,3,3,5,5,5,5,5,5,3,5,5,0,0
satisfied,Male,Loyal Customer,44,Business travel,Business,2173,5,5,5,5,2,4,5,4,4,4,4,5,4,4,0,0
dissatisfied,Female,Loyal Customer,46,Business travel,Eco,657,1,5,5,5,5,3,3,1,1,1,1,1,1,1,0,0
dissatisfied,Female,Loyal Customer,44,Business travel,Eco,482,2,3,3,3,2,3,3,2,2,2,2,1,2,3,0,6
dissatisfied,Female,Loyal Customer,34,Business travel,Business,460,3,3,3,3,2,3,3,3,3,3,3,3,3,3,0,0
satisfied,Male,Loyal Customer,38,Business travel,Business,3122,4,4,4,4,4,2,3,3,3,3,3,5,3,1,8,11
satisfied,Female,Loyal Customer,39,Business travel,Eco,2143,5,5,5,5,5,5,5,5,1,1,3,1,2,5,5,1
satisfied,Male,Loyal Customer,29,Business travel,Business,2233,5,5,5,5,2,2,2,2,3,4,3,4,5,2,0,0
dissatisfied,Male,disloyal Customer,21,Business travel,Eco,2393,3,2,2,1,1,3,1,1,4,5,3,4,5,1,0,0
satisfied,Male,disloyal Customer,22,Business travel,Business,1913,4,0,5,4,3,5,3,3,4,4,5,3,4,3,13,18
dissatisfied,Male,disloyal Customer,26,Business travel,Business,2159,3,3,3,3,1,3,1,1,5,3,4,3,4,1,0,0
satisfied,Male,Loyal Customer,31,Business travel,Eco,1447,3,4,4,4,3,4,3,3,5,3,2,5,1,3,1,0
dissatisfied,Female,disloyal Customer,35,Business travel,Business,3280,2,3,3,3,2,3,2,2,5,3,4,3,5,2,0,0
satisfied,Female,Loyal Customer,65,Personal Travel,Eco Plus,997,4,4,4,4,2,3,1,3,3,4,3,3,3,3,7,6
dissatisfied,Male,Loyal Customer,53,Personal Travel,Eco,1649,1,4,1,3,5,1,5,5,4,2,4,4,3,5,0,0
satisfied,Female,Loyal Customer,24,Personal Travel,Eco,1956,2,2,2,2,3,5,1,2,2,2,2,4,2,5,16,10
dissatisfied,Female,disloyal Customer,26,Business travel,Eco,1801,1,0,1,4,3,1,2,3,4,4,4,2,4,3,0,0
