satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Male,Loyal Customer,53,Business travel,Business,482,4,4,4,4,5,4,5,4,4,4,4,4,4,3,0,0
dissatisfied,Male,Loyal Customer,19,Personal Travel,Eco,1746,1,4,1,1,1,1,1,1,4,2,4,5,4,1,0,0
dissatisfied,Male,Loyal Customer,54,Personal Travel,Eco,1500,2,5,2,5,4,2,4,4,5,4,1,1,4,4,0,0
satisfied,Female,Loyal Customer,41,Business travel,Business,2547,3,3,3,3,3,5,5,5,5,5,5,3,5,4,0,26
satisfied,Female,Loyal Customer,50,Business travel,Business,3794,5,4,5,5,5,5,4,4,4,4,4,5,4,3,0,0
satisfied,Female,Loyal Customer,25,Personal Travel,Eco,1973,4,4,4,4,3,1,3,5,5,5,5,2,5,3,97,104
satisfied,Male,Loyal Customer,40,Business travel,Business,2596,4,4,4,4,5,5,5,5,2,4,4,5,4,5,0,0
satisfied,Female,Loyal Customer,50,Business travel,Business,2439,3,3,3,3,3,4,5,4,4,5,4,3,4,3,2,0
satisfied,Female,Loyal Customer,43,Business travel,Business,2208,3,3,3,3,2,1,3,1,1,2,1,1,1,4,24,30
dissatisfied,Male,Loyal Customer,57,Personal Travel,Eco,2020,2,4,2,4,4,2,4,4,4,3,5,5,5,4,0,0
satisfied,Female,Loyal Customer,29,Business travel,Business,3455,4,4,4,4,5,5,5,5,4,1,2,3,5,5,0,0
satisfied,Female,Loyal Customer,45,Business travel,Eco Plus,2600,4,5,5,5,4,4,4,5,5,3,5,4,1,4,0,0
dissatisfied,Female,Loyal Customer,45,Business travel,Business,1906,2,5,5,5,3,1,2,2,2,2,2,2,2,3,31,30
satisfied,Female,Loyal Customer,41,Business travel,Business,2834,3,3,3,3,2,5,2,5,5,5,5,4,5,3,0,0
dissatisfied,Female,Loyal Customer,43,Business travel,Business,3772,4,3,3,3,2,3,4,3,3,3,4,2,3,3,43,35
dissatisfied,Male,Loyal Customer,15,Personal Travel,Eco,1795,4,5,4,2,5,4,5,5,4,2,1,4,1,5,86,80
dissatisfied,Male,Loyal Customer,47,Business travel,Business,2361,2,2,2,2,3,3,3,2,2,1,2,3,2,2,0,0
dissatisfied,Female,Loyal Customer,46,Business travel,Business,3231,2,5,5,5,5,3,3,2,2,2,2,1,2,1,0,0
dissatisfied,Male,disloyal Customer,42,Business travel,Eco,2324,3,3,3,4,5,3,5,5,2,3,1,4,3,5,4,0
dissatisfied,Male,Loyal Customer,19,Personal Travel,Eco,2334,2,5,2,4,5,2,5,5,3,3,5,5,5,5,0,0
dissatisfied,Male,Loyal Customer,22,Business travel,Eco,2030,4,4,4,4,4,4,3,4,2,5,2,4,2,4,1,0
satisfied,Male,Loyal Customer,47,Business travel,Eco,2343,4,3,4,3,4,4,4,4,4,3,3,3,5,4,8,2
satisfied,Male,Loyal Customer,41,Business travel,Eco,2004,4,3,3,3,4,4,4,4,5,3,3,1,5,4,0,0
dissatisfied,Male,disloyal Customer,25,Business travel,Eco,2843,2,2,2,3,3,2,3,3,1,1,3,2,2,3,72,124
satisfied,Male,Loyal Customer,51,Business travel,Business,610,5,5,5,5,5,5,4,3,3,4,3,3,3,3,0,0
satisfied,Female,Loyal Customer,44,Business travel,Business,1740,4,4,4,4,5,5,4,4,4,4,4,3,4,3,32,16
dissatisfied,Female,Loyal Customer,42,Business travel,Eco,948,3,2,2,2,1,4,4,3,3,3,3,2,3,2,23,24
satisfied,Female,Loyal Customer,31,Business travel,Business,1388,2,2,2,2,5,5,5,5,4,2,5,5,5,5,16,9
satisfied,Male,Loyal Customer,58,Business travel,Eco Plus,1107,5,1,1,1,5,5,5,5,5,3,3,4,3,5,0,0
satisfied,Female,Loyal Customer,51,Personal Travel,Eco,330,2,2,2,2,4,4,5,4,4,4,4,3,4,5,0,0
satisfied,Female,Loyal Customer,70,Personal Travel,Eco Plus,792,5,4,4,4,4,1,1,5,5,5,5,2,5,4,0,0
satisfied,Female,Loyal Customer,45,Business travel,Business,660,3,3,3,3,5,5,5,3,3,3,3,5,3,5,65,59
satisfied,Female,Loyal Customer,27,Business travel,Business,4830,1,1,1,1,4,4,4,4,1,1,5,4,2,4,22,6
dissatisfied,Male,Loyal Customer,50,Business travel,Business,3614,4,3,3,3,1,3,4,4,4,4,4,1,4,1,0,0
satisfied,Female,Loyal Customer,28,Business travel,Business,3191,1,1,1,1,4,4,4,4,5,5,4,3,5,4,0,13
dissatisfied,Female,disloyal Customer,15,Business travel,Eco,2899,1,1,1,3,3,1,2,3,1,5,4,3,3,3,0,0
dissatisfied,Female,Loyal Customer,40,Business travel,Business,979,2,3,3,3,5,3,4,2,2,2,2,2,2,2,0,0
satisfied,Female,Loyal Customer,9,Personal Travel,Eco,2320,5,4,5,1,3,5,5,1,1,5,1,4,1,4,0,0
satisfied,Female,disloyal Customer,24,Business travel,Eco,2626,4,3,3,5,5,3,5,5,3,1,5,1,2,5,0,0
satisfied,Male,Loyal Customer,39,Business travel,Business,2293,4,4,2,4,5,5,5,3,5,4,5,5,3,5,3,10
dissatisfied,Female,Loyal Customer,46,Business travel,Business,1771,3,3,3,3,4,2,3,3,3,3,3,1,3,1,0,0
dissatisfied,Female,Loyal Customer,40,Business travel,Business,3722,3,1,1,1,2,3,3,3,3,3,3,1,3,1,28,16
satisfied,Male,Loyal Customer,53,Business travel,Eco Plus,2220,5,2,2,2,5,5,5,5,3,1,3,1,4,5,54,58
dissatisfied,Female,Loyal Customer,70,Business travel,Eco,424,3,4,4,4,1,4,4,3,3,3,3,1,3,4,1,0
dissatisfied,Female,disloyal Customer,31,Business travel,Eco,2552,2,2,2,4,5,2,5,5,3,1,4,1,4,5,0,0
satisfied,Female,Loyal Customer,64,Personal Travel,Eco,889,0,2,0,3,5,0,5,5,2,5,4,1,4,5,95,93
satisfied,Female,Loyal Customer,49,Personal Travel,Eco,855,1,1,1,1,4,5,3,5,5,5,5,5,5,5,2,0
satisfied,Female,Loyal Customer,31,Business travel,Business,4033,5,5,5,5,5,5,5,3,2,3,5,5,5,5,182,185
dissatisfied,Male,Loyal Customer,20,Personal Travel,Eco Plus,2552,3,4,4,2,4,4,4,4,5,3,5,5,5,4,0,0
dissatisfied,Male,Loyal Customer,64,Personal Travel,Eco,2305,1,4,1,3,2,1,2,2,1,3,1,5,3,2,1,0
satisfied,Female,Loyal Customer,30,Personal Travel,Eco,1638,3,3,3,3,5,4,4,4,4,4,4,5,4,3,0,0
dissatisfied,Male,Loyal Customer,66,Personal Travel,Eco,1927,2,5,2,4,3,2,4,3,5,2,3,1,4,3,34,26
satisfied,Female,Loyal Customer,55,Business travel,Business,1458,5,5,5,5,4,4,4,4,4,4,4,4,4,4,24,12
satisfied,Male,Loyal Customer,51,Business travel,Business,3494,1,1,3,1,3,4,5,1,1,2,1,4,1,4,0,0
dissatisfied,Male,Loyal Customer,65,Personal Travel,Eco,2332,2,3,2,2,1,2,2,1,4,3,3,4,2,1,0,8
satisfied,Female,Loyal Customer,53,Business travel,Business,2973,5,5,5,5,2,1,1,4,4,4,4,1,4,4,0,0
satisfied,Female,Loyal Customer,34,Personal Travel,Business,506,5,5,4,5,2,4,5,5,5,5,5,3,5,4,37,35
dissatisfied,Female,disloyal Customer,20,Business travel,Eco,1435,3,4,3,3,2,3,2,2,4,3,3,2,1,2,0,0
dissatisfied,Male,Loyal Customer,56,Business travel,Eco,2710,1,1,3,1,1,1,1,1,3,4,3,2,4,1,58,89
satisfied,Female,Loyal Customer,52,Business travel,Business,2073,3,3,3,3,1,4,4,4,4,4,4,4,4,5,0,0
satisfied,Female,Loyal Customer,51,Personal Travel,Eco,372,4,4,4,4,3,5,4,5,5,5,4,4,5,4,0,0
satisfied,Male,Loyal Customer,29,Business travel,Business,1958,2,2,2,2,4,4,4,4,3,4,5,4,3,4,0,0
satisfied,Male,Loyal Customer,39,Business travel,Business,3679,3,3,3,3,2,4,4,4,4,4,4,5,4,5,0,0
dissatisfied,Male,Loyal Customer,77,Business travel,Business,3572,3,3,3,3,5,2,2,3,3,3,3,2,3,2,0,0
dissatisfied,Male,Loyal Customer,7,Personal Travel,Eco,1393,4,1,4,1,2,4,2,2,2,1,1,1,1,2,0,0
dissatisfied,Male,Loyal Customer,49,Personal Travel,Eco,1614,2,4,2,2,2,2,2,2,5,3,4,4,5,2,0,0
dissatisfied,Female,disloyal Customer,22,Business travel,Business,1946,3,4,4,4,1,4,1,1,4,1,3,4,4,1,23,21
dissatisfied,Male,Loyal Customer,61,Personal Travel,Business,1344,3,5,3,5,3,5,4,1,1,3,1,3,1,4,9,17
dissatisfied,Male,Loyal Customer,23,Business travel,Business,3425,2,2,2,2,2,2,2,2,2,5,2,1,4,2,26,26
satisfied,Female,Loyal Customer,56,Business travel,Eco,334,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0
satisfied,Female,Loyal Customer,61,Business travel,Eco,428,4,5,5,5,5,5,3,4,4,4,4,4,4,3,0,0
satisfied,Female,Loyal Customer,54,Business travel,Business,1038,2,2,2,2,5,4,4,3,3,2,3,3,3,5,0,0
dissatisfied,Male,Loyal Customer,28,Personal Travel,Eco Plus,2311,4,3,4,4,1,4,1,1,5,3,3,5,4,1,8,0
satisfied,Male,disloyal Customer,26,Business travel,Business,1780,4,0,4,1,5,4,5,5,4,5,4,4,5,5,0,0
dissatisfied,Female,Loyal Customer,68,Personal Travel,Eco,2488,4,4,4,4,5,4,3,4,4,4,4,4,4,4,1,0
dissatisfied,Female,disloyal Customer,30,Business travel,Eco,2076,3,3,3,3,1,3,1,1,3,1,3,3,4,1,7,9
dissatisfied,Female,disloyal Customer,51,Business travel,Eco,1503,3,2,3,2,4,3,2,4,2,4,2,1,2,4,17,29
satisfied,Male,Loyal Customer,54,Business travel,Business,2571,5,5,5,5,4,5,4,4,4,4,4,4,4,4,0,0
dissatisfied,Female,disloyal Customer,35,Business travel,Eco,2358,1,1,1,3,5,1,5,5,4,2,3,2,3,5,0,0
dissatisfied,Male,Loyal Customer,52,Personal Travel,Eco Plus,2063,3,1,3,3,3,3,1,3,4,4,4,2,4,3,0,0
dissatisfied,Male,Loyal Customer,42,Business travel,Business,1979,3,1,1,1,5,3,3,3,3,3,3,4,3,4,70,58
satisfied,Female,Loyal Customer,59,Personal Travel,Eco,1910,5,4,5,4,5,5,5,4,4,5,4,4,4,4,4,0
satisfied,Male,Loyal Customer,51,Business travel,Eco Plus,1905,4,5,2,5,3,4,3,3,1,4,5,3,2,3,0,0
dissatisfied,Female,Loyal Customer,48,Business travel,Eco,2289,4,5,5,5,4,2,3,3,3,4,3,3,3,4,0,0
satisfied,Male,Loyal Customer,33,Business travel,Business,1758,5,5,5,5,5,5,5,5,4,5,5,3,4,5,1,12
satisfied,Female,Loyal Customer,52,Business travel,Business,1012,2,2,2,2,4,4,4,5,5,5,5,5,5,3,0,0
satisfied,Female,Loyal Customer,56,Business travel,Business,462,2,2,2,2,5,4,4,5,5,4,5,5,5,4,0,0
satisfied,Male,disloyal Customer,25,Business travel,Business,2091,5,0,5,3,1,5,1,1,3,2,4,4,5,1,0,0
satisfied,Male,Loyal Customer,31,Business travel,Business,4867,2,1,2,2,4,4,4,4,3,4,4,4,4,4,13,4
satisfied,Male,Loyal Customer,35,Business travel,Eco,2435,3,4,4,4,3,4,3,3,4,1,1,3,2,3,0,0
satisfied,Male,Loyal Customer,47,Business travel,Business,533,5,5,2,5,3,5,4,4,4,4,4,3,4,5,0,0
dissatisfied,Male,Loyal Customer,47,Personal Travel,Eco,1670,3,4,3,4,3,3,5,3,3,5,5,4,5,3,0,0
dissatisfied,Male,disloyal Customer,35,Business travel,Business,2130,4,4,4,4,5,4,5,5,1,1,3,3,4,5,17,2
dissatisfied,Male,disloyal Customer,38,Business travel,Eco,1655,3,0,4,3,4,4,4,4,2,3,3,2,3,4,5,0
dissatisfied,Male,disloyal Customer,17,Business travel,Eco,1431,2,2,2,4,1,2,1,1,2,2,3,2,3,1,109,117
satisfied,Male,Loyal Customer,49,Business travel,Business,2718,1,1,4,1,5,4,5,4,4,4,4,3,4,3,69,48
satisfied,Female,Loyal Customer,57,Business travel,Business,1206,3,3,3,3,5,4,4,3,3,4,3,4,3,3,18,0
dissatisfied,Male,Loyal Customer,38,Personal Travel,Eco,3488,2,1,2,2,3,2,3,3,3,2,2,1,2,3,0,0
satisfied,Male,Loyal Customer,31,Business travel,Business,4151,2,2,2,2,5,5,5,5,4,4,5,4,4,5,0,0
satisfied,Female,Loyal Customer,53,Personal Travel,Eco,97,1,1,1,1,3,5,5,5,5,5,5,5,5,4,0,0
satisfied,Female,Loyal Customer,47,Business travel,Business,959,4,4,4,4,1,2,1,4,4,4,4,4,4,4,0,0
dissatisfied,Female,Loyal Customer,37,Business travel,Eco,1543,1,1,1,1,1,1,1,1,3,3,4,2,4,1,0,0
dissatisfied,Female,disloyal Customer,21,Business travel,Eco,1873,3,4,4,2,3,4,3,3,1,5,1,4,5,3,4,11
satisfied,Female,Loyal Customer,68,Personal Travel,Eco,888,4,4,4,4,3,5,4,4,4,4,4,3,4,3,0,0
dissatisfied,Female,disloyal Customer,27,Business travel,Eco,2271,3,3,3,4,5,3,5,5,3,3,4,3,4,5,4,13
satisfied,Male,Loyal Customer,58,Personal Travel,Eco Plus,2250,0,5,0,3,4,0,4,4,4,5,4,3,4,4,0,0
satisfied,Female,Loyal Customer,44,Business travel,Business,2388,4,4,4,4,5,4,4,4,4,4,4,4,4,5,36,19
dissatisfied,Male,Loyal Customer,66,Personal Travel,Eco,3240,1,5,0,4,2,0,2,2,1,1,5,4,3,2,6,0
dissatisfied,Male,Loyal Customer,43,Personal Travel,Eco Plus,1816,3,2,3,3,5,3,5,5,2,5,3,2,4,5,58,52
dissatisfied,Male,Loyal Customer,42,Personal Travel,Eco,2068,1,3,1,4,5,1,2,5,3,5,3,4,3,5,2,0
satisfied,Female,Loyal Customer,55,Business travel,Business,3434,3,3,3,3,4,5,4,5,5,5,5,5,5,5,7,0
satisfied,Female,Loyal Customer,56,Business travel,Business,241,3,3,3,3,5,4,5,5,5,5,5,3,5,5,0,0
dissatisfied,Male,Loyal Customer,66,Personal Travel,Eco,1563,1,4,4,2,3,4,3,3,4,5,4,5,4,3,0,6
dissatisfied,Male,Loyal Customer,58,Business travel,Eco,1436,2,1,3,3,2,2,2,2,4,2,3,1,4,2,0,0
dissatisfied,Male,Loyal Customer,37,Business travel,Eco,1946,1,2,2,2,1,1,1,1,2,2,4,2,3,1,9,2
dissatisfied,Female,disloyal Customer,21,Business travel,Eco,1792,1,3,1,3,4,1,4,4,1,4,3,1,4,4,18,10
satisfied,Male,disloyal Customer,25,Business travel,Eco,2672,4,4,4,4,2,4,2,2,3,2,5,5,5,2,30,23
satisfied,Female,Loyal Customer,14,Personal Travel,Eco,3610,2,2,2,2,5,4,5,5,5,5,5,5,5,5,3,0
satisfied,Male,Loyal Customer,53,Business travel,Business,2634,5,5,1,5,4,4,4,3,3,4,3,4,3,5,0,0
satisfied,Female,Loyal Customer,61,Business travel,Eco,665,4,4,4,4,1,1,4,4,4,4,4,5,4,3,0,0
satisfied,Male,Loyal Customer,23,Business travel,Business,5461,3,3,2,3,4,5,4,4,3,4,4,5,4,4,79,70
dissatisfied,Male,Loyal Customer,43,Business travel,Business,3397,2,3,3,3,1,3,2,2,2,2,2,3,2,1,0,0
satisfied,Female,Loyal Customer,53,Personal Travel,Business,1750,2,2,2,2,3,5,4,4,4,4,4,4,4,5,33,27
dissatisfied,Female,disloyal Customer,33,Business travel,Business,1790,3,3,3,1,5,3,5,5,3,2,4,3,4,5,1,0
dissatisfied,Female,disloyal Customer,28,Business travel,Eco,2697,2,1,1,4,1,1,1,1,1,5,1,2,4,1,0,0
dissatisfied,Male,Loyal Customer,35,Business travel,Business,1534,2,1,1,1,2,3,3,2,2,2,2,4,2,4,0,0
dissatisfied,Male,Loyal Customer,36,Personal Travel,Eco,1445,4,5,4,4,3,4,3,3,4,5,5,4,5,3,61,53
satisfied,Female,Loyal Customer,31,Business travel,Business,3574,5,5,5,5,5,5,5,5,4,5,4,3,4,5,0,0
satisfied,Female,Loyal Customer,70,Personal Travel,Eco,1374,2,2,5,2,4,4,4,4,4,5,5,4,4,4,0,0
dissatisfied,Male,Loyal Customer,59,Personal Travel,Eco Plus,1246,2,3,2,3,1,2,1,1,3,3,3,1,4,1,34,37
satisfied,Female,Loyal Customer,70,Personal Travel,Eco,482,3,3,3,3,4,4,4,4,3,3,3,2,2,4,13,3
dissatisfied,Female,disloyal Customer,27,Business travel,Business,2642,2,2,2,3,3,2,3,3,3,2,5,5,4,3,6,14
dissatisfied,Male,Loyal Customer,68,Personal Travel,Eco,1568,2,3,2,2,1,2,5,1,4,5,3,1,2,1,0,0
satisfied,Female,Loyal Customer,59,Business travel,Business,312,1,1,1,1,3,4,5,3,3,4,3,5,3,5,0,0
satisfied,Female,Loyal Customer,68,Personal Travel,Business,2430,5,5,5,5,5,5,4,2,2,2,2,4,2,4,25,0
satisfied,Male,Loyal Customer,49,Business travel,Business,4876,2,2,2,2,5,5,5,4,4,5,5,5,3,5,189,165
dissatisfied,Male,Loyal Customer,23,Personal Travel,Eco,2113,3,4,3,4,3,1,2,2,2,3,3,2,2,2,226,244
dissatisfied,Female,disloyal Customer,47,Business travel,Eco,2225,4,4,4,4,2,4,2,2,4,3,3,4,3,2,12,32
satisfied,Female,Loyal Customer,15,Personal Travel,Eco,1729,0,0,0,3,4,5,3,5,5,1,1,4,5,1,9,0
dissatisfied,Male,Loyal Customer,67,Personal Travel,Eco,3773,1,4,1,1,2,1,2,2,4,3,3,5,4,2,0,0
dissatisfied,Male,Loyal Customer,16,Personal Travel,Eco,2990,2,2,2,2,1,2,1,1,2,4,2,3,3,1,1,0
dissatisfied,Male,disloyal Customer,32,Business travel,Eco,1266,2,2,2,3,4,2,1,4,2,1,4,1,3,4,23,44
dissatisfied,Male,disloyal Customer,28,Business travel,Eco,2491,4,4,4,4,1,4,1,1,3,2,3,2,4,1,4,0
dissatisfied,Female,Loyal Customer,36,Business travel,Business,3662,1,4,4,4,4,3,4,1,1,1,1,3,1,4,0,0
dissatisfied,Male,disloyal Customer,28,Business travel,Eco,3004,3,3,3,4,3,3,3,3,3,2,5,4,1,3,15,17
dissatisfied,Female,disloyal Customer,24,Business travel,Eco,2391,4,4,4,3,5,4,3,5,2,1,3,2,3,5,8,0
dissatisfied,Male,Loyal Customer,46,Personal Travel,Eco,2245,3,4,3,3,4,3,4,4,4,3,4,2,4,4,0,0
satisfied,Male,Loyal Customer,34,Business travel,Business,2591,3,3,1,3,3,3,5,3,3,3,3,4,3,4,0,0
dissatisfied,Female,Loyal Customer,64,Personal Travel,Eco,2092,3,4,3,5,3,5,5,5,2,4,5,5,5,5,186,195
satisfied,Female,Loyal Customer,46,Business travel,Business,1172,2,2,2,2,3,5,4,3,3,4,3,4,3,4,0,0
satisfied,Female,Loyal Customer,41,Business travel,Business,2254,1,1,1,1,2,5,5,2,2,2,2,4,2,4,21,0
dissatisfied,Female,disloyal Customer,25,Business travel,Eco,1951,2,3,2,2,1,2,5,1,5,5,3,3,5,1,0,0
dissatisfied,Male,Loyal Customer,74,Business travel,Eco,2171,4,4,4,4,4,4,4,4,2,4,3,2,4,4,23,28
satisfied,Male,Loyal Customer,41,Business travel,Business,1672,3,3,3,3,4,5,5,5,5,5,5,3,5,3,0,0
satisfied,Female,Loyal Customer,21,Personal Travel,Eco,2405,5,5,5,5,4,4,5,5,5,5,5,3,5,4,0,3
dissatisfied,Male,Loyal Customer,56,Personal Travel,Eco,2047,4,4,4,2,5,4,5,5,5,5,5,4,5,5,0,0
satisfied,Male,Loyal Customer,50,Business travel,Business,632,1,1,1,1,2,4,5,5,5,5,5,5,5,4,0,0
dissatisfied,Female,disloyal Customer,40,Business travel,Business,1391,2,2,2,3,2,2,2,2,4,2,4,5,4,2,0,0
dissatisfied,Female,Loyal Customer,66,Personal Travel,Eco,683,4,3,4,1,1,5,2,1,1,4,1,1,1,1,61,48
dissatisfied,Male,disloyal Customer,14,Personal Travel,Eco,1734,4,5,4,3,2,4,2,2,3,3,4,4,5,2,0,0
dissatisfied,Male,Loyal Customer,39,Business travel,Business,558,1,4,3,4,3,4,3,1,1,1,1,4,1,3,0,0
satisfied,Female,Loyal Customer,34,Business travel,Business,1500,2,2,3,2,4,5,5,3,3,4,3,4,3,5,2,0
satisfied,Male,Loyal Customer,58,Business travel,Business,5464,3,3,3,3,5,5,5,5,4,4,4,5,5,5,163,160
dissatisfied,Male,disloyal Customer,35,Business travel,Business,2571,2,2,2,2,5,2,5,5,4,2,5,4,4,5,0,0
satisfied,Female,Loyal Customer,40,Business travel,Eco,2551,4,5,1,5,4,4,4,4,1,1,2,5,2,4,24,22
dissatisfied,Female,Loyal Customer,35,Business travel,Business,250,2,4,4,4,5,3,3,2,2,2,2,3,2,2,0,0
satisfied,Female,Loyal Customer,49,Business travel,Business,2696,5,5,5,5,5,5,4,4,4,4,4,5,4,5,0,0
dissatisfied,Male,Loyal Customer,41,Personal Travel,Eco,1660,3,2,2,4,3,2,3,3,4,2,4,3,3,3,0,0
satisfied,Male,Loyal Customer,39,Business travel,Business,556,4,4,4,4,3,1,3,4,4,4,4,4,4,4,2,3
satisfied,Male,Loyal Customer,43,Business travel,Eco,2779,4,4,4,4,4,4,4,4,3,1,2,1,2,4,0,0
dissatisfied,Male,Loyal Customer,65,Personal Travel,Eco,1770,2,3,2,3,5,2,5,5,4,2,3,1,3,5,0,0
dissatisfied,Male,Loyal Customer,67,Personal Travel,Eco Plus,2326,3,4,3,5,2,3,2,2,3,3,5,3,5,2,13,38
dissatisfied,Male,Loyal Customer,29,Business travel,Business,2829,3,3,3,3,3,3,3,3,3,2,3,3,3,3,22,25
satisfied,Male,Loyal Customer,63,Business travel,Business,1560,4,4,4,4,2,4,4,4,4,4,4,4,4,3,0,0
satisfied,Male,Loyal Customer,49,Business travel,Business,753,5,5,5,5,2,4,5,4,4,4,4,3,4,5,0,0
satisfied,Female,Loyal Customer,56,Business travel,Business,2213,4,4,4,4,3,4,5,4,4,5,4,5,4,5,0,0
dissatisfied,Female,Loyal Customer,25,Business travel,Business,1711,3,1,1,1,3,3,3,3,1,4,3,2,3,3,27,38
satisfied,Female,Loyal Customer,38,Business travel,Business,3806,3,2,3,3,5,4,5,5,5,5,5,3,5,5,29,34
dissatisfied,Male,disloyal Customer,26,Business travel,Business,3215,3,3,3,1,2,3,2,2,4,2,3,5,5,2,0,0
satisfied,Male,Loyal Customer,45,Business travel,Business,772,2,2,2,2,5,5,5,5,5,5,5,3,5,3,0,0
satisfied,Male,Loyal Customer,46,Business travel,Business,774,4,4,4,4,5,5,5,5,5,5,5,3,5,3,0,0
dissatisfied,Female,disloyal Customer,24,Business travel,Eco,1211,1,0,1,4,3,1,3,3,3,4,5,5,5,3,67,65
satisfied,Female,Loyal Customer,54,Business travel,Business,1458,4,4,4,4,2,4,4,4,4,4,4,4,4,5,0,0
dissatisfied,Male,Loyal Customer,11,Personal Travel,Eco Plus,3451,3,4,3,2,3,3,1,3,2,4,4,1,5,1,1,17
dissatisfied,Female,Loyal Customer,60,Personal Travel,Eco,381,3,5,3,5,5,5,4,5,5,3,5,3,5,3,0,0
dissatisfied,Male,Loyal Customer,15,Personal Travel,Eco,1754,2,5,2,1,1,2,1,1,1,4,5,4,2,1,20,18
dissatisfied,Female,Loyal Customer,26,Personal Travel,Business,2025,4,1,4,3,3,4,2,3,3,4,2,1,3,3,77,78
dissatisfied,Male,disloyal Customer,25,Business travel,Business,958,3,0,3,3,4,3,4,4,5,4,1,3,2,4,0,1
dissatisfied,Male,Loyal Customer,43,Business travel,Eco,857,4,1,1,1,5,4,5,5,4,5,3,3,3,5,0,0
dissatisfied,Male,Loyal Customer,17,Personal Travel,Eco,3085,1,5,1,3,3,1,3,3,1,5,2,2,4,3,43,49
dissatisfied,Male,disloyal Customer,19,Business travel,Eco,1681,3,1,3,4,5,3,5,5,2,5,4,3,3,5,0,4
satisfied,Female,disloyal Customer,22,Business travel,Business,1942,0,5,0,5,2,0,2,2,2,3,4,5,1,2,7,0
satisfied,Female,Loyal Customer,39,Business travel,Business,3993,4,4,4,4,2,4,5,5,5,5,5,4,5,3,0,0
satisfied,Male,disloyal Customer,24,Business travel,Business,1503,5,5,5,4,2,5,3,2,4,3,5,4,5,2,2,4
satisfied,Female,Loyal Customer,29,Personal Travel,Eco,1693,2,2,1,2,5,5,4,5,5,5,5,3,5,4,0,2
satisfied,Female,Loyal Customer,54,Personal Travel,Eco,473,5,5,5,5,5,5,5,5,3,2,4,4,4,5,0,3
satisfied,Female,Loyal Customer,55,Business travel,Eco,209,3,1,4,1,5,3,4,4,4,3,4,3,4,3,0,15
dissatisfied,Male,disloyal Customer,21,Business travel,Eco,2329,3,3,3,3,3,3,3,4,1,2,4,3,2,3,7,32
dissatisfied,Male,disloyal Customer,23,Business travel,Eco,1680,4,3,4,1,4,4,4,4,4,4,1,3,1,4,0,0
dissatisfied,Male,Loyal Customer,24,Personal Travel,Business,3189,3,3,3,5,2,3,2,2,3,5,5,3,1,2,2,0
dissatisfied,Male,disloyal Customer,40,Business travel,Business,1774,3,2,2,2,3,2,5,3,5,2,4,4,4,3,0,0
satisfied,Female,Loyal Customer,23,Business travel,Eco,1356,3,4,3,4,3,4,4,3,1,2,5,4,3,3,7,10
dissatisfied,Male,Loyal Customer,36,Personal Travel,Business,1218,3,5,3,5,4,3,4,3,3,3,2,3,3,5,0,0
dissatisfied,Male,Loyal Customer,51,Business travel,Business,1935,1,4,4,4,1,3,3,3,3,3,1,3,3,1,0,0
satisfied,Male,Loyal Customer,54,Business travel,Eco Plus,1119,5,1,1,1,5,5,5,5,4,5,5,4,1,5,0,0
satisfied,Male,Loyal Customer,45,Business travel,Business,691,3,3,3,3,2,2,1,4,4,4,4,2,4,2,13,0
satisfied,Female,Loyal Customer,56,Personal Travel,Eco,1519,5,5,5,5,3,4,5,4,4,4,4,3,4,5,0,0
satisfied,Female,Loyal Customer,12,Personal Travel,Eco,4159,1,1,1,1,2,5,5,4,4,4,4,4,4,3,0,0
dissatisfied,Female,Loyal Customer,47,Business travel,Business,840,1,1,5,1,1,3,4,1,1,1,1,1,1,4,24,18
satisfied,Female,Loyal Customer,38,Business travel,Business,2429,4,4,4,4,4,4,3,3,3,4,3,3,3,5,3,4
satisfied,Female,Loyal Customer,42,Business travel,Business,629,1,1,1,1,2,4,4,4,4,4,4,3,4,3,0,0
dissatisfied,Male,disloyal Customer,45,Business travel,Business,2306,1,1,1,1,1,1,1,1,1,5,2,1,1,1,0,0
satisfied,Female,Loyal Customer,37,Business travel,Business,2983,4,4,4,4,4,4,4,5,5,5,5,1,5,4,0,0
satisfied,Male,Loyal Customer,26,Business travel,Business,4851,2,2,4,2,5,5,5,5,3,3,4,5,4,5,0,0
dissatisfied,Male,disloyal Customer,24,Business travel,Eco,1902,1,0,1,4,4,1,4,4,4,5,5,1,2,4,106,90
satisfied,Male,Loyal Customer,48,Business travel,Business,3276,1,1,1,1,5,5,4,4,4,4,4,3,4,5,15,7
satisfied,Male,Loyal Customer,58,Business travel,Business,2551,1,1,1,1,2,4,4,4,4,4,4,3,4,3,0,0
satisfied,Female,Loyal Customer,51,Personal Travel,Eco,3728,3,3,3,3,5,4,5,5,5,4,5,5,5,3,0,0
satisfied,Male,Loyal Customer,26,Personal Travel,Business,1923,4,5,4,4,5,4,5,5,4,4,5,5,4,5,0,0
